     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   16.,    4.0,   0.31,  0.021,  -0.14,  -0.14, -0.066,  -0.10, -0.078, 
   42.,    0.0,   0.18, -0.0089, -0.029,  0.033,  0.019, 0.0084,  0.025, 
   40.,    1.0,   0.60,  0.050,    0.0, -0.012, -0.0020,    0.0, -0.022, 
   44.,    1.0,   0.50,   0.10,    0.0,  -0.10,  0.099,   0.10,  0.045, 
   29.,    5.0,    1.7,   0.70,   0.29,    1.1,    2.7,    2.1,   0.44, 
   20.,    2.0,   0.62,   0.19,    0.0,    0.0,  0.063,    0.0,  0.039, 
   20.,    4.0,    0.0,   0.36,    0.0,   -1.4,   0.24,   0.24,   0.39, 
   86.,    1.0,   0.60,   0.15,   0.20, 0.0091, -0.0020,    0.0, 0.0018, 
   3.0,    0.0,   0.19, -0.060, -0.068, -0.048,  0.011, 0.00099, -0.019, 
   0.0,    3.0,    1.0, -0.011, -0.0030, -0.0074, -0.016, -0.016, -0.012, 
   25.,    5.0,    6.4, -0.093,    1.7,    1.2,   -2.1,   -2.6,  0.085, 
   46.,    2.0,   0.62,   0.19,    0.0,  0.022,  0.063,    0.0,  0.041, 
   8.0,    3.0,   0.96,  0.012,  0.032, 0.00076,  0.020,  0.019,  0.025, 
   94.,    0.0,   0.19,  0.025,  0.017, -0.0031,  0.016, 0.0052,  0.030, 
   95.,    0.0,   0.19, -0.014, -0.030,  0.025, 0.0071, -0.0035,  0.019, 
   69.,    2.0,   0.50,   0.31,   0.12,   0.14,   0.19,   0.12,   0.20, 
   53.,    4.0,   0.96,  -0.60,  -0.96,   -10.,  -0.73,  -0.76,  -0.58, 
   23.,    2.0,   0.88,  -0.19,  -0.12,  -0.26,  -0.19,  -0.25,  -0.19, 
   54.,    2.0,   0.62,  0.062,    0.0,  0.070,  0.063,    0.0,  0.078, 
   6.0,    2.0,   0.62,   0.19,    0.0,    0.0,  0.063,    0.0,  0.040, 
   24.,    1.0,   0.50,   0.10,   0.10,   0.14,  0.099,   0.10,  0.068, 
   28.,    5.0,    5.2,   -1.9,   -1.4,   -1.1,  -0.85,   -1.4,   -1.9, 
   13.,    0.0,   0.21,  0.062,   0.11,  0.081, -0.011, -0.021, 0.0086, 
   5.0,    4.0,   0.39,  -0.15, -0.046,   0.13,  -0.15,  -0.19,  -0.13, 
   16.,    4.0,   0.31,  0.021,  -0.14,  -0.14, -0.066,  -0.10, -0.078, 
   70.,    5.0,    6.1,   -1.2,  -0.11,    4.3,   -1.8,   -2.3,  -0.71, 
   31.,    3.0,   0.98, -0.0042, -0.028, 0.0099, 0.0027, 0.0020, -0.00044, 
   42.,    1.0,   0.50,   0.10,    0.0,  0.074,  0.099,   0.10,  0.050, 
   41.,    4.0,   0.51,  -0.14,   0.16, -0.078,  -0.28,  -0.31,  -0.28, 
   78.,    5.0,    3.4,  -0.58,   -1.2,   -2.4,   0.94,   0.44,   -1.3, 
   55.,    2.0,   0.62,   0.12,   0.12,  0.072,  0.063,    0.0,  0.071, 
   95.,    3.0,   0.99, -0.0060, -0.012,  0.011, -0.011, -0.011, -0.0097, 
   49.,    0.0,   0.15, -0.0034,  0.029, -0.092,  0.048,  0.037,  0.045, 
   0.0,    5.0,    5.2,  0.086,   0.27,  -0.23,  -0.88,   -1.4,   0.19, 
   81.,    3.0,   0.99, -0.012, -0.044, -0.028, -0.013, -0.014, -0.016, 
   52.,    3.0,   0.98, -0.011, -0.0015, -0.0068, 0.0042, 0.0035, -0.0044, 
   70.,    5.0,    6.1,   -1.2,  -0.11,    4.3,   -1.8,   -2.3,  -0.71, 
   78.,    3.0,   0.98, -0.0067, -0.0090,  0.011, 0.0017, 0.0010, -0.0034, 
   99.,    2.0,   0.62,    0.0,    0.0,  0.083,  0.063,    0.0,  0.073, 
