     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   78.,    4.0,   0.65, -0.041, -0.027,  -0.12, -0.054, 0.0088,   0.15,  -0.12,  -0.13, 
   9.0,    3.0,   0.32,  0.024,  0.015, -0.024,  0.011, -0.029, -0.087,  0.021, -0.016, 
   36.,    5.0,   0.20,  0.075,  0.099,   0.11,  0.056,  0.051,  0.018,   0.11,  0.082, 
   86.,    0.0,   0.48, 0.0039,   0.17, -0.025,   0.17,  0.021,  0.036,  -0.26,  -0.29, 
   33.,    0.0,   0.16, -0.040, -0.063,  -0.16, 0.0065, -0.054,  -0.16,  0.075,  0.032, 
   3.0,    4.0,   0.60, 0.0090, -0.082, -0.078,  0.070,  0.064,  0.051, -0.063, -0.076, 
   20.,    2.0,   0.34, -0.030, -0.044,  -0.11, -0.097, -0.049, -0.068, -0.0025, -0.042, 
   22.,    3.0,   0.36,  0.024,  0.021, -0.019, -0.0090, -0.0088,    0.0, -0.027, -0.064, 
   29.,    4.0,   0.66,  -0.15,  -0.25,  -0.25,  -0.14,  -0.25,  -0.22,  -0.12,  -0.14, 
   70.,    1.0,   0.35,  -0.11, -0.022,  0.013,  0.022,  -0.14, -0.039, -0.082,  -0.12, 
   4.0,    5.0,   0.55,  0.020,   0.16,   0.16,  0.032, -0.010, 0.0070,  -0.24,  -0.27, 
   69.,    1.0,    0.0,   0.36,   0.26,   0.23,   0.35,   0.34,   0.27,   0.28,   0.24, 
   58.,    4.0,   0.58,  0.046, -0.042, -0.042,   0.10,  0.077,  0.037, -0.046, -0.059, 
   84.,    3.0,   0.23,  0.022, -0.0050, -0.027, -0.054, -0.030, -0.075,   0.11,  0.073, 
   75.,    4.0,   0.49, -0.039, -0.064,  -0.10,  -0.11,  -0.11,  -0.12,  0.042,  0.028, 
   42.,    2.0,   0.17,  0.048,   0.13,  0.059,  0.063,  0.041, -0.016,   0.18,   0.14, 
   46.,    0.0,   0.22, -0.017, -0.047,  -0.10,  -0.15,  0.031,   0.11, 0.0090, -0.033, 
   98.,    0.0,   0.13, -0.011, -0.034, 0.0040,  0.026, -0.00050,  0.061,   0.10,  0.061, 
   53.,    2.0,   0.41,  0.028,  0.025, -0.022,  0.092,  0.066,  0.096, -0.065,  -0.10, 
   23.,    3.0,   0.27, -0.0079,  -0.12, -0.028, -0.056, -0.037, 0.0010,  0.065,  0.029, 
   29.,    5.0,   0.30, -0.0069, -0.017,  0.016, -0.0040, 0.0018,  0.065,  0.020, -0.012, 
   87.,    5.0,   0.17,  0.030,  0.096,   0.11,   0.13,  0.052,  0.013,   0.14,   0.11, 
   81.,    5.0,   0.39,  0.056, -0.030, -0.030,   0.30,   0.16,  -0.17, -0.073,  -0.10, 
   92.,    5.0,   0.31,  0.029,  0.024,  0.052,   0.12,  0.096, -0.095, 0.0097, -0.022, 
   49.,    4.0,   0.39,   0.18,   0.14,   0.14,   0.16,   0.18,   0.24,   0.15,   0.14, 
   1.0,    5.0,   0.26,  0.041,  0.050,  0.050,  0.046,  0.024, -0.0020,  0.057,  0.027, 
   24.,    4.0,   0.63, 0.0012, -0.0055,  0.081,  0.039,  0.028,  0.098, -0.093,  -0.11, 
   95.,    3.0,   0.34,  0.025,  0.059,  0.059, -0.099,  -0.12, -0.048, -0.0068, -0.044, 
   52.,    3.0,   0.47, -0.097, -0.015, -0.040, -0.077, -0.074,  -0.11,  -0.13,  -0.17, 
   20.,    1.0,   0.19, -0.029, -0.029, -0.088,  -0.11,  -0.19, -0.073,  0.087,  0.052, 
   86.,    3.0,   0.60,  -0.13, -0.035,  -0.16,  -0.13, 0.0045,  -0.14,  -0.27,  -0.30, 
