     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   82.,    4.0,   0.15,  0.034, -0.048,    0.0, -0.048,  0.019,    0.0, -0.058, -0.096, 
   0.0,    1.0,  0.029,   0.11,  0.047,    0.0,  0.047,  0.016,  0.094,  0.066,  0.031, 
   55.,    1.0,  0.014, 0.0089, 0.0017, 0.0036,  0.019,  0.014, -0.0078,  0.081,  0.047, 
   97.,    5.0,  0.080, 0.0028, -0.023, -0.045,  0.026, -0.040,  0.057,  0.031, -0.034, 
   9.0,    2.0,  0.030,  0.066,  0.039,  0.094,  0.039,  0.059,  0.094,   0.15,  0.094, 
   66.,    0.0, 0.0040,  -0.19,    1.0,   0.51, 0.0021, 0.0011,    0.0,   0.13,  0.069, 
   77.,    2.0,  0.077,   0.17,   0.36,   0.42,   0.17,   0.28, -0.037,   0.10,  0.047, 
   59.,    5.0,  0.034,  0.036,  0.026, -0.017, -0.014, -0.018,    0.0,  0.077,  0.011, 
   49.,    5.0,   0.73,  -0.58,  -0.61,  -0.65,  -0.70,  -0.70,  -0.55,  -0.62,  -0.68, 
   24.,    3.0,  0.031, 0.0040, -0.016, -0.016, -0.016, 0.00095,    0.0,  0.078,    0.0, 
   31.,    0.0,   0.20, -0.033, -0.046, -0.046,  -0.12, -0.026,    0.0, -0.068,  -0.13, 
   52.,    0.0,  0.085,  0.087,   0.42,   0.42, -0.035, 0.0067,    0.0,  0.052, -0.012, 
   8.0,    2.0,   0.25,   0.10,   0.13,  0.063,    0.0,  0.031,    0.0, -0.074,  -0.13, 
   42.,    2.0,   0.25,   0.11,   0.19,   0.25, 5.0e-05,   0.19,   0.25, -0.074,  -0.13, 
   87.,    1.0, 0.0060,  0.046, 0.0060, 0.0080,  0.020, 0.0096,  0.016,  0.089,  0.055, 
   16.,    4.0,  0.019,  0.036,    0.0,    0.0,    0.0,  0.034,    0.0,  0.078,  0.039, 
   3.0,    1.0, 0.0010, -0.013, 0.0010,    0.0,  0.010, 0.0060,  0.028,  0.094,  0.060, 
   80.,    5.0,  0.034,  0.062,  0.040,  0.011,  0.037,  0.037,    0.0,  0.077,  0.011, 
   82.,    5.0,  0.091,  0.068, -0.031, -0.054, 5.0e-05,  0.011,  0.091,  0.020, -0.045, 
   11.,    2.0,  0.062,  0.086,  0.094,   0.10,  0.016,  0.063,  0.062,   0.12,  0.062, 
   4.0,    1.0,  0.029,  0.033,  0.035, -0.012, 0.0080,  0.027,  0.031,  0.066,  0.031, 
   22.,    3.0,   0.12,   0.10,   0.31,   0.35,  0.062,   0.23,   0.12, -0.016, -0.094, 
   81.,    4.0,   0.12, -0.034, -0.048, -0.048,    0.0, -0.048,    0.0, -0.019, -0.058, 
   53.,    5.0,  0.045,  0.076,  0.028, 0.0057,  0.011,  0.014,  0.011,  0.065,    0.0, 
   42.,    5.0,   0.14,  0.075,    0.0, -0.023, -5.0e-05, -0.034, -0.045, -0.026, -0.091, 
   15.,    3.0,  0.023,  0.020, 0.0079, 0.0079,    0.0, -0.0039,    0.0,  0.086, 0.0079, 
   76.,    0.0,  0.022,  0.098,   0.48,   0.48,    0.0, 0.0037,    0.0,   0.12,  0.051, 
   84.,    3.0,   0.25,  -0.17,  -0.25,  -0.25,  -0.19,  -0.21,  -0.22,  -0.15,  -0.22, 
   82.,    3.0,   0.12,   0.10, -0.094, -0.094, -0.031,    0.0,   0.50, -0.016, -0.094, 
   94.,    4.0,   0.12, 0.0014, -0.029,    0.0, -0.029, -0.087, -0.096, -0.019, -0.058, 
   6.0,    0.0,  0.096,  0.066,   0.41,   0.41, -0.012,  0.039, -0.018,  0.041, -0.024, 
   21.,    3.0,   0.25,  0.043,  -0.19,  -0.19,  -0.25,  -0.19,    0.0,  -0.14,  -0.22, 
   89.,    3.0,  0.062,  0.060, -0.062, -0.031,  0.062, -0.031, -0.031,  0.047, -0.031, 
