     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   67.,    3.0,   0.98, -0.0069, -0.0062, -0.012, -0.0080, -0.0087, -0.0080, -0.0017, -0.0020, 
   10.,    2.0,   0.62,  0.025,   0.19,   0.19,  0.062,  -0.16,    0.0,  0.066,    0.0, 
   75.,    0.0,   0.17,  0.033,  0.011, -0.012,   0.10,  0.033,   0.10,  0.035,  0.021, 
   40.,    5.0,    3.1,   0.41,   0.49,   0.19,   0.25,  -0.18,   0.63,    1.2,   0.85, 
   49.,    0.0,   0.21,  0.019,   0.13,  0.035,  0.025, 0.0098,  0.025, -0.0025, -0.018, 
   65.,    2.0,   0.62,  0.086,   0.12,   0.19,  0.062,  0.062,   0.12,  0.066,    0.0, 
   6.0,    0.0,   0.27, -0.062,   0.16,  0.045,  0.039,  0.046, -0.025, -0.068, -0.082, 
   6.0,    2.0,   0.75, -0.057,  0.062,  0.062,  -0.12, -0.031,  -0.12, -0.061,  -0.12, 
   38.,    5.0,    4.1,  -0.58,  -0.48,  -0.55,  -0.30,  -0.43,  -0.49,   0.27,  -0.14, 
   4.0,    1.0,   0.50,  0.029,   0.10,   0.10,   0.10,  0.050,    0.0,  0.091,   0.10, 
   13.,    2.0,   0.62,  0.073,  0.062,  0.062,   0.12,    0.0,    0.0,  0.066,    0.0, 
   45.,    2.0,   0.62,  0.075,   0.12,   0.19,    0.0,  0.062,   0.12,  0.066,    0.0, 
   21.,    3.0,   0.96,  0.026, 0.0095, 0.0035, 0.0055,  0.036,  0.032,  0.020,  0.020, 
   84.,    3.0,   0.98, 0.0054,  0.012, 0.0082,  0.016, 0.0095,  0.022, 0.0063, 0.0065, 
   96.,    1.0,   0.50, -0.011, -0.050,    0.0,    0.0,    0.0,    0.0,  0.091,   0.10, 
   83.,    5.0,    3.6, -0.098,   0.21,   0.45,  -0.41,  0.058,  -0.88,   0.76,   0.38, 
   31.,    0.0,   0.18,  0.029, -0.044, -0.067, -0.066, -0.067, -0.037,  0.028,  0.014, 
   15.,    3.0,   0.98, -0.00043, -0.0027,  0.013, 0.0057, -0.0091, -0.0085, 0.0018, 0.0020, 
   20.,    3.0,   0.99, -0.014, -0.0070, -0.0087, -0.014, -0.0047, 0.0055, -0.011, -0.011, 
   75.,    4.0,   0.27, -0.050,  -0.27,  -0.27,  0.053,  -0.27,  -0.27, -0.041,  -0.10, 
   58.,    4.0,    0.0,   0.22,    0.0,    0.0,   0.21,    0.0,    0.0,   0.23,   0.20, 
   88.,    4.0,   0.37,  -0.12, -0.015, -0.015,  -0.22,  -0.22,  -0.37,  -0.14,  -0.20, 
   22.,    0.0,   0.27, -0.051, -0.084, -0.084,  -0.11,  -0.10, -0.066, -0.069, -0.083, 
   91.,    0.0,   0.18,  0.033, -0.0030, -0.0032, -0.0026, 0.0019,   0.16,  0.022, 0.0077, 
   2.0,    3.0,   0.94,  0.035,  0.028,  0.026,  0.039,  0.031,  0.017,  0.044,  0.043, 
   19.,    1.0,   0.50,  0.020,  0.050,   0.10,   0.10,    0.0,  -0.10,  0.091,   0.10, 
   42.,    4.0,    0.0,   0.18,    0.0,    0.0,   0.12,   0.13,    0.0,   0.23,   0.20, 
   6.0,    0.0,   0.27, -0.062,   0.16,  0.045,  0.039,  0.046, -0.025, -0.068, -0.082, 
   64.,    4.0,    0.0,   0.26,   0.35,   0.35,   0.32,   0.27,   0.37,   0.23,   0.20, 
   32.,    1.0,   0.50,  0.075,   0.10,   0.15,   0.10,   0.12,   0.10,  0.091,   0.10, 
   33.,    2.0,   0.62,  0.038,   0.12,   0.19,  0.062,    0.0,    0.0,  0.066,    0.0, 
   54.,    0.0,  0.090,   0.13,   0.15,   0.15,   0.10,  0.062,   0.17,   0.12,   0.10, 
   94.,    3.0,   0.97, 0.0040, 0.0022, -0.0040, -0.0092, -0.011, 0.0070, 0.0068, 0.0070, 
   88.,    0.0,   0.21, 0.0025, -0.046, -0.046, 0.0096, -0.013,  0.075, -0.0015, -0.017, 
   93.,    2.0,    1.0,  -0.26,  -0.31,  -0.44,  -0.38,  -0.31,  -0.38,  -0.31,  -0.38, 
   70.,    5.0,    2.2,    1.3,   0.75,  0.019,   0.40,  -0.14,   0.35,    2.2,    1.8, 
   38.,    3.0,   0.96,  0.024,  0.030,  0.035,  0.035, 0.0072,  0.031,  0.025,  0.025, 
