     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   97.,    2.0,   0.50,  -0.13,  -0.25,  -0.13,  -0.32,  -0.38,  -0.15, 
   63.,    4.0,  0.031,  0.031,    0.0,   0.15,   0.11,  0.063,  0.099, 
   66.,    1.0, 0.0060,    0.0,    0.0, 0.0033,  0.082,  0.023, -0.025, 
   18.,    2.0,  0.030,  0.052,    0.0,  0.021,   0.15,  0.094,  0.091, 
   11.,    4.0,  0.031,    0.0,    0.0, 0.0083,   0.11,  0.063,  0.061, 
   83.,    5.0,  0.016, -0.0078, 0.0077, 0.0094,   0.15,   0.11,   0.11, 
   67.,    4.0,  0.094, -0.031,    0.0,  0.019,  0.048,    0.0, -0.0084, 
   63.,    3.0,   0.25,  -0.11,  -0.22,  -0.26,  -0.16,  -0.22,  -0.17, 
   54.,    3.0,  0.062, -0.047, -0.031, -0.045,  0.027, -0.031,  0.011, 
   76.,    4.0,  0.031,   0.13,   0.16,   0.15,   0.11,  0.063,  0.069, 
   43.,    4.0,  0.094, -0.031,    0.0, 0.0049,  0.048,    0.0,  0.036, 
   45.,    1.0,  0.029,  0.016,    0.0,  0.012,  0.059,    0.0,  0.025, 
   98.,    2.0,   0.25, -0.063,   0.25,   0.14, -0.070,  -0.13,   0.10, 
   54.,    0.0,   0.12,   0.39, -0.076, -0.093,   0.12,  0.038,   0.17, 
   12.,    1.0,  0.061,    0.0,  0.063,  0.021,  0.027, -0.031, -0.0072, 
   95.,    0.0,  0.011,   0.49, -0.0039, -0.0036,   0.23,   0.14, -0.059, 
   53.,    1.0,  0.029, -0.023, -0.015, 0.0061,  0.059,    0.0,  0.024, 
   62.,    1.0,  0.014, -0.0080,  0.015, -0.034,  0.074,  0.015,   0.16, 
   9.0,    3.0,   0.50,  0.055,  -0.25,  -0.25,  -0.42,  -0.47, -0.054, 
   43.,    4.0,  0.094, -0.031,    0.0, 0.0049,  0.048,    0.0,  0.036, 
   15.,    0.0,   0.23,   0.27,   0.13,   0.14, 0.0072, -0.076,  0.061, 
   61.,    4.0,  0.031,    0.0,    0.0,    0.0,   0.11,  0.063,  0.054, 
   87.,    5.0,   0.16, -0.070,    0.0,  -0.12, 0.0079, -0.031, -0.012, 
   26.,    0.0,   0.38,   0.12,    0.0,   0.23,  -0.15,  -0.23, -0.087, 
   75.,    3.0,  0.023,   0.10, -0.023, -0.013,  0.066, 0.0079,  0.048, 
   78.,    2.0,  0.011,  0.055,  0.035,   0.11,   0.17,   0.11,  0.083, 
   1.0,    1.0,   0.25,    0.0,    0.0, -0.075,  -0.16,  -0.22,  0.054, 
   25.,    2.0,  0.030,  0.047,  0.016,  0.089,   0.15,  0.094,  0.077, 
   47.,    1.0,  0.029, -0.023, -0.023, -0.023,  0.059,    0.0, -0.0061, 
   67.,    0.0,   0.11,   0.39, -0.019, -0.020,   0.13,  0.044,   0.19, 
   27.,    1.0, 0.0060, 0.0040, 0.0080,  0.012,  0.082,  0.023, -0.0033, 
   33.,    1.0,  0.080,    0.0,    0.0, 0.0034, 0.0074, -0.051, -0.00056, 
   45.,    3.0,  0.035,  0.092,    0.0, -0.0095,  0.054, -0.0039,  0.038, 
   50.,    1.0,  0.010, -0.0040, -0.0040, -0.0040,  0.078,  0.019,  0.044, 
   64.,    4.0,  0.031,  0.031,    0.0, 0.0040,   0.11,  0.063,  0.099, 
   70.,    3.0,  0.031,  0.096, -0.031, -0.026,  0.058,    0.0,  0.055, 
   39.,    2.0,  0.062,  0.020,  0.062,  0.062,   0.12,  0.062,  0.061, 
   2.0,    1.0,   0.25,    0.0,    0.0, -0.075,  -0.16,  -0.22,  0.054, 
   3.0,    0.0,  0.015,   0.49,    0.0, -0.00050,   0.23,   0.14,   0.12, 
   20.,    1.0,  0.045,  0.050, -0.031, -0.032,  0.043, -0.016, -0.0091, 
   71.,    2.0,   0.12,  0.039,    0.0,  0.073,  0.056,    0.0,  0.061, 
   92.,    0.0,   0.16,   0.35,    0.0, -0.045,  0.084,    0.0,   0.11, 
   49.,    4.0,  0.031,  0.016,    0.0,  0.019,   0.11,  0.063,  0.061, 
   81.,    5.0,   0.50,  -0.31,  -0.45,  -0.34,  -0.34,  -0.37,  -0.35, 
   13.,    0.0,  0.042,   0.46,  0.013, -0.048,   0.20,   0.11,   0.18, 
   29.,    4.0,  0.031,    0.0,    0.0, -0.0085,   0.11,  0.063,  0.054, 
   93.,    1.0,   0.12,    0.0,   0.13,  0.046, -0.036, -0.094,  0.013, 
   21.,    0.0,   0.16,   0.34, -0.048, -0.023,  0.080, -0.0039,  0.077, 
   45.,    5.0,  0.094,   0.14,    0.0, -0.021,  0.071,  0.031,  0.098, 
   79.,    4.0,  0.031,   0.13,  0.094,   0.12,   0.11,  0.063,  0.069, 
   5.0,    3.0,   0.25, -0.061,  -0.12,  -0.13,  -0.16,  -0.22, -0.089, 
   82.,    5.0,   0.88,  -0.63,  -0.69,  -0.71,  -0.72,  -0.75,  -0.73, 
   63.,    0.0,  0.073,   0.43,    0.0, 0.0031,   0.17,  0.082,   0.19, 
   81.,    1.0,  0.029,  0.031,  0.041, 0.0075,  0.059,    0.0, -0.017, 
   0.0,    2.0,  0.093,  0.031, -0.016,  -0.24,  0.088,  0.031, 0.0029, 
   85.,    2.0,  0.062,  0.031,    0.0,  0.054,   0.12,  0.062,  0.091, 
   38.,    0.0,  0.042,   0.46,   0.34,   0.41,   0.20,   0.11,   0.22, 
   8.0,    5.0,   0.25,   0.12,    0.0, -5.6e-17, -0.087,  -0.12, -0.034, 
   52.,    5.0,  0.023,   0.13, -0.0077,   0.11,   0.14,   0.10,   0.17, 
