     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   24.,    0.0,   0.98, -0.075, -0.015, -0.015, 0.0037, -0.030, 0.0053,  -0.24,  -0.17, 
   77.,    2.0,   0.40,  -0.25, -0.086, -0.086,  0.093,  0.017, -0.078,   0.27,   0.31, 
   25.,    1.0,   0.93,  -0.17, -0.077, -0.077,  -0.12,  -0.13, -0.087,  -0.12, -0.076, 
   35.,    2.0,   0.53,   0.16,   0.30,   0.30,   0.15,   0.23,   0.36,   0.15,   0.18, 
   23.,    0.0,   0.93, -0.041,  0.033,  0.033,  0.045,  0.016,  0.050,  -0.19,  -0.13, 
   60.,    1.0,   0.68, -0.063,  -0.15,  -0.15, -0.098,  -0.14,  -0.13,   0.13,   0.18, 
   80.,    0.0,   0.95,  -0.16,  -0.16,  -0.16, -0.090,  -0.19, -0.058,  -0.21,  -0.14, 
   2.0,    1.0,   0.98, -0.0095, 0.0086, 0.0086, 0.0010, 0.0048,  0.015,  -0.18,  -0.13, 
   57.,    0.0,   0.87, -0.022,  0.025,  0.025, -0.021, 0.0064,  0.043,  -0.13, -0.069, 
   32.,    0.0,   0.89, -0.019,  -0.23,  -0.23,  -0.45,  -0.27,  -0.43,  -0.15, -0.084, 
   83.,    2.0,    1.0,  -0.31,  -0.15,  -0.15,  -0.10,  -0.23,  -0.10,  -0.33,  -0.31, 
   83.,    2.0,    1.0,  -0.31,  -0.15,  -0.15,  -0.10,  -0.23,  -0.10,  -0.33,  -0.31, 
   44.,    0.0,   0.77, -0.011,  0.020,  0.020,  0.050,  0.055,  0.044, -0.025,  0.040, 
   19.,    1.0,   0.65, -0.012, -0.057, -0.057,  0.039,  0.087, -0.079,   0.15,   0.20, 
   2.0,    0.0,   0.98, -0.063, -0.013, -0.013, -0.0090, -0.0016, -0.023,  -0.24,  -0.17, 
   5.0,    0.0,   0.44,   0.34,   0.34,   0.34,   0.38,   0.41,   0.38,   0.30,   0.36, 
   87.,    1.0,   0.85, -0.074, 0.0040, 0.0040, -0.0081, -0.065, -0.081, -0.050, -0.0040, 
   71.,    1.0,   0.90,  0.092, 0.0010, 0.0010, -0.055, -0.033, -0.075, -0.093, -0.047, 
   46.,    2.0,   0.77, -0.089, -0.037, -0.037,  -0.12, -0.089,  -0.10, -0.095, -0.075, 
   5.0,    2.0,   0.75, -0.033,  -0.12,  -0.12, -0.025, -0.074,   0.18, -0.079, -0.059, 
   89.,    2.0,   0.71,  0.063,  0.057,  0.057,   0.11,  0.074,  0.012, -0.037, -0.017, 
   83.,    1.0,   0.82,   0.18,   0.16,   0.16,   0.12,   0.11,   0.16, -0.018,  0.030, 
   91.,    2.0,    1.0,  -0.26,  -0.15,  -0.15,  -0.25,  -0.17,  -0.28,  -0.33,  -0.31, 
   58.,    2.0,   0.53,   0.26,   0.24,   0.24,   0.21,   0.20,   0.18,   0.15,   0.18, 
   55.,    1.0,    1.0, -0.024, -0.018, -0.018, -0.022, -0.020, -0.019,  -0.20,  -0.15, 
   68.,    0.0,   0.84, -0.0041,  0.096,  0.096,  0.072,  0.025,  0.047,  -0.10, -0.038, 
   26.,    1.0,   0.71,   0.12,   0.12,   0.12,  0.018, -0.0078,  -0.15,  0.093,   0.14, 
   75.,    1.0,   0.83,  0.043,  0.053,  0.053, 0.0020,  0.071,  0.091, -0.024,  0.024, 
   1.0,    0.0,   0.67,  0.048,   0.12,   0.12,   0.10,   0.14,  0.085,  0.076,   0.14, 
   19.,    1.0,   0.65, -0.012, -0.057, -0.057,  0.039,  0.087, -0.079,   0.15,   0.20, 
   42.,    1.0,   0.99, -2.2e-05,  0.013,  0.013,  0.013, 0.0055,  0.013,  -0.18,  -0.14, 
   47.,    2.0,   0.97, -0.098, -0.0075, -0.0075, -0.024, -0.040,  0.031,  -0.30,  -0.28, 
   11.,    1.0,   0.94, -0.076, -0.054, -0.054, -0.065, -0.064, -0.095,  -0.13, -0.086, 
   99.,    2.0,   0.59,   0.13,   0.18,   0.18,  0.020,  0.034,   0.12,  0.085,   0.12, 
   4.0,    0.0,   0.71, -0.014,  -0.22,  -0.22,  0.041,  -0.13,  0.099,  0.034,  0.099, 
   34.,    0.0,   0.37,  0.095,  -0.10,  -0.10,   0.25,   0.23,  0.051,   0.37,   0.44, 
   19.,    2.0,   0.41,  0.097,  0.089,  0.089,   0.17,   0.13,   0.13,   0.27,   0.30, 
   37.,    1.0,   0.56, -0.041,  -0.20,  -0.20, -0.014, -0.090, 0.0040,   0.25,   0.30, 
   50.,    2.0,   0.78,  0.030, -0.0075, -0.0075,  -0.10, -0.067,  -0.17,  -0.10, -0.082, 
   16.,    1.0,   0.99, -0.054, -0.096, -0.096, -0.022, -0.072, -0.019,  -0.19,  -0.14, 
   14.,    1.0,   0.94, -0.054, -0.087, -0.087, -0.049,  -0.11,  0.033,  -0.14, -0.089, 
   93.,    0.0,   0.95, -0.0096,  0.019,  0.019, 0.0095,  -0.23, 0.0011,  -0.21,  -0.14, 
   6.0,    1.0,   0.84, -0.077,  0.010,  0.010, 0.0076, -0.041,  -0.27, -0.034,  0.014, 
   22.,    2.0,   0.69,  0.066,  0.075,  0.075,   0.13,  0.087,   0.19, -0.019,  0.016, 
   93.,    0.0,   0.95, -0.0096,  0.019,  0.019, 0.0095,  -0.23, 0.0011,  -0.21,  -0.14, 
   38.,    1.0,   0.98, -0.011,  0.016,  0.016, 0.0081,  0.012, -0.0060,  -0.17,  -0.13, 
