     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   73.,    0.0,   0.83, -0.034, -0.016, -0.017,  0.043,  0.039,  0.019, 
   98.,    0.0,   0.74,  0.023,  0.079,  0.029,   0.13,   0.13,  0.050, 
   62.,    2.0,   0.81, -0.016, -0.081, -0.030,  0.027,  0.022, -0.0099, 
   58.,    1.0,   0.84,  0.046,   0.13,   0.12,  0.076,  0.072,  0.087, 
   91.,    1.0,   0.82,  0.033,  0.068,  0.038,  0.091,  0.087,  0.068, 
   23.,    1.0,   0.95, -0.014,  0.046,  0.066, -0.041, -0.051, -0.016, 
   10.,    1.0,   0.98, -0.042, -0.0040, -0.015, -0.072, -0.083, -0.036, 
   41.,    1.0,   0.97, -0.088, -0.087,  -0.17, -0.058, -0.068, -0.044, 
   83.,    0.0,   0.79, 0.0010,  0.018, -0.0059,  0.078,  0.074,  0.050, 
   15.,    2.0,   0.95,  0.036,  0.025,  0.010,  -0.12,  -0.12, -0.046, 
   91.,    2.0,   0.71, -0.024,  0.082,  0.060,   0.12,   0.12,  0.046, 
   21.,    1.0,   0.89,   0.11,  0.057,  0.045,  0.028,  0.024,  0.075, 
   50.,    2.0,   0.80,  0.039,  -0.12,  -0.23,  0.032,  0.027,  0.026, 
   80.,    2.0,   0.72,  0.027, -0.012,  -0.65,   0.11,   0.10,  0.011, 
   28.,    2.0,    1.0,  -0.15,  -0.23,  -0.31,  -0.17,  -0.18,  -0.13, 
   21.,    2.0,    1.0, -0.015, -0.098,  0.040,  -0.17,  -0.17, -0.073, 
   80.,    0.0,   0.78,  0.013, -0.027,  0.016,  0.088,  0.084,  0.039, 
   46.,    1.0,   0.96, -0.063, -0.068,  -0.21, -0.049, -0.059, -0.061, 
   17.,    0.0,   0.94, 0.0052,  0.023, -0.0020, -0.071, -0.077, -0.016, 
   16.,    0.0,   0.94,  0.020,  0.028,  0.011, -0.071, -0.077, -0.011, 
   21.,    0.0,   0.99, -0.097, -0.090,  -0.12,  -0.12,  -0.13, -0.053, 
   59.,    0.0,   0.80,  0.065,  0.042,  0.053,  0.067,  0.063,  0.063, 
   62.,    1.0,   0.85,  0.029,  0.046, 0.0089,  0.060,  0.055,  0.057, 
   84.,    2.0,   0.60,   0.20,   0.17,   0.21,   0.23,   0.23,   0.18, 
   42.,    0.0,   0.83,  0.095, -0.0073, -0.036,  0.040,  0.037,  0.046, 
   5.0,    0.0,   0.95,  0.019,  0.039,  0.030, -0.078, -0.084, -0.011, 
   54.,    1.0,   0.82,  0.078,  0.063,   0.24,  0.093,  0.089,   0.11, 
   32.,    0.0,   0.92, -0.0094, -0.030,  0.059, -0.051, -0.057, -0.026, 
   92.,    1.0,   0.92,  -0.17, -0.0040, -0.029, -0.0022, -0.013, -0.031, 
   10.,    0.0,   0.96, -0.0026, -0.023,  0.011, -0.095,  -0.10, -0.037, 
   58.,    1.0,   0.84,  0.046,   0.13,   0.12,  0.076,  0.072,  0.087, 
   9.0,    2.0,   0.99, -0.0080, -0.071, -0.020,  -0.16,  -0.17, -0.075, 
   67.,    0.0,   0.85, -0.059, -0.069, -0.012,  0.018,  0.015, -0.028, 
   40.,    0.0,   0.86, 0.0084,  0.043, -0.0056, 0.0098, 0.0063,  0.024, 
   78.,    2.0,   0.71,  0.039,   0.11,  0.067,   0.12,   0.12,  0.039, 
   18.,    0.0,   0.96, -0.019, 0.0052, 0.0074, -0.095,  -0.10, -0.045, 
   44.,    0.0,   0.88, -0.010,  0.051,  -0.12, -0.0092, -0.016, -0.011, 
   31.,    0.0,   0.88,  0.046,   0.12,   0.43, -0.0071, -0.014,  0.057, 
   20.,    2.0,   0.97, -0.0045, -0.0040, -0.019,  -0.13,  -0.14, -0.088, 
   83.,    1.0,   0.81,  0.073,  0.041,   0.11,   0.10,   0.10,  0.076, 
   65.,    1.0,   0.90, -0.025, -0.0050, -0.0086,  0.011, 0.0070, -0.0032, 
   9.0,    0.0,   0.98, -0.049, -0.032,   0.18,  -0.11,  -0.12, -0.045, 
   31.,    1.0,   0.90, 0.0030, -0.033,  0.068,  0.017,  0.013,  0.058, 
   14.,    1.0,   0.97, -0.063,  -0.15,  -0.13, -0.062, -0.073, -0.017, 
   7.0,    0.0,    1.0, -0.055, -0.055, -0.026,  -0.13,  -0.14, -0.074, 
   4.0,    0.0,   0.93,  0.044,  0.023,  0.016, -0.064, -0.070,  0.010, 
   46.,    0.0,   0.89, -0.020,  -0.13,  -0.11, -0.019, -0.025, -0.047, 
   3.0,    0.0,   0.98, -0.014, -0.034, -0.013,  -0.11,  -0.11, -0.047, 
   15.,    0.0,   0.97, -0.025, -0.0052,  0.022,  -0.10,  -0.11, -0.049, 
   69.,    2.0,   0.75,    0.0,  0.087, -0.064,  0.083,  0.078,  0.016, 
   26.,    1.0,   0.90, 0.0010, -0.028, -0.0024,  0.015,  0.011,  0.063, 
   46.,    1.0,   0.96, -0.063, -0.068,  -0.21, -0.049, -0.059, -0.061, 
   7.0,    0.0,    1.0, -0.055, -0.055, -0.026,  -0.13,  -0.14, -0.074, 
   60.,    1.0,   0.89, -0.0096,  0.044, -0.043,  0.021,  0.017,  0.013, 
   3.0,    1.0,    1.0, -0.057, -0.019, -0.018, -0.088, -0.098, -0.050, 
   4.0,    2.0,    1.0, -0.038, -0.092, -0.054,  -0.17,  -0.18,  -0.13, 
   89.,    2.0,   0.64,   0.11,   0.20,  0.069,   0.19,   0.19,   0.13, 
   90.,    0.0,   0.82,  -0.12, 0.0094, -0.021,  0.056,  0.052, -0.010, 
   27.,    1.0,   0.85,   0.15,   0.15,   0.14,  0.065,  0.060,   0.11, 
   65.,    1.0,   0.90, -0.025, -0.0050, -0.0086,  0.011, 0.0070, -0.0032, 
   40.,    1.0,   0.93, -0.051,  0.032, -0.093, -0.022, -0.032, -0.0098, 
   53.,    1.0,   0.89, -0.0096,  0.076,  0.058,  0.021,  0.017,  0.026, 
   12.,    1.0,    1.0, -0.097, -0.019,   0.23, -0.088, -0.098, -0.048, 
   63.,    1.0,   0.90, -0.020,    0.0, -0.0073,  0.016,  0.012, 0.00060, 
   89.,    2.0,   0.64,   0.11,   0.20,  0.069,   0.19,   0.19,   0.13, 
   83.,    1.0,   0.81,  0.073,  0.041,   0.11,   0.10,   0.10,  0.076, 
   2.0,    2.0,   0.99, -0.0020,  0.014, -0.0061,  -0.16,  -0.16, -0.088, 
   46.,    0.0,   0.89, -0.020,  -0.13,  -0.11, -0.019, -0.025, -0.047, 
   74.,    0.0,   0.86, -0.070, 0.0031, -0.046, 0.0066, 0.0031, -0.052, 
   17.,    0.0,   0.94, 0.0052,  0.023, -0.0020, -0.071, -0.077, -0.016, 
   33.,    0.0,   0.88,  0.052,  0.037,  0.061, -0.0050, -0.011,  0.071, 
   99.,    0.0,   0.82,  -0.12,  0.029,  0.084,  0.053,  0.049, 0.0019, 
   20.,    0.0,   0.94,  0.018, 0.0010,  0.015, -0.074, -0.079, -0.015, 
   11.,    0.0,   0.94,  0.020,  0.034,   0.14, -0.071, -0.077, -0.012, 
   22.,    2.0,   0.96, -0.00050, 0.0040, 0.0085,  -0.13,  -0.14, -0.083, 
   80.,    0.0,   0.78,  0.013, -0.027,  0.016,  0.088,  0.084,  0.039, 
   27.,    0.0,   0.95, -0.049, -0.076, -0.039, -0.082, -0.088, -0.0080, 
   70.,    0.0,   0.72,   0.14,  0.043,   0.18,   0.15,   0.15,   0.12, 
   69.,    0.0,   0.82, -0.021,  0.039,   0.23,  0.053,  0.049,  0.017, 
   58.,    0.0,   0.83, 0.00052, -0.0042,  0.033,  0.040,  0.037,  0.054, 
   73.,    2.0,   0.78, -0.026,  0.085, -0.087,  0.055,  0.050, -0.0029, 
   94.,    2.0,   0.71, -0.0085,   0.18,  0.046,   0.13,   0.12,  0.086, 
   25.,    1.0,   0.98, -0.077,  0.019, -0.028, -0.063, -0.074, -0.037, 
   82.,    0.0,   0.82, -0.050, -0.073, 0.0024,  0.056,  0.052, -0.028, 
   20.,    2.0,   0.97, -0.0045, -0.0040, -0.019,  -0.13,  -0.14, -0.088, 
   58.,    2.0,   0.86,  -0.11, -0.085,  -0.15, -0.031, -0.039, -0.087, 
   11.,    1.0,    1.0, -0.078, -0.019, -0.012, -0.088, -0.098, -0.051, 
   44.,    2.0,   0.83,  0.025,  0.037,  0.046, 0.0046, -0.0040, -0.0060, 
   12.,    1.0,    1.0, -0.097, -0.019,   0.23, -0.088, -0.098, -0.048, 
   99.,    1.0,   0.75,   0.13,  0.075,  0.055,   0.17,   0.16,   0.15, 
   96.,    0.0,   0.74,  0.029,  0.092,   0.14,   0.14,   0.13,  0.072, 
   16.,    1.0,   0.98, -0.056,  0.019, 0.0077, -0.068, -0.079, -0.031, 
   13.,    0.0,   0.95,  0.011,  0.019,  0.042, -0.081, -0.087, -0.016, 
   28.,    1.0,   0.87,  0.029,  0.028,  0.038,  0.044,  0.039,  0.092, 
   4.0,    2.0,    1.0, -0.038, -0.092, -0.054,  -0.17,  -0.18,  -0.13, 
   14.,    2.0,    1.0, -0.046, -0.078,   0.23,  -0.17,  -0.18,  -0.14, 
   23.,    1.0,   0.95, -0.014,  0.046,  0.066, -0.041, -0.051, -0.016, 
   23.,    1.0,   0.95, -0.014,  0.046,  0.066, -0.041, -0.051, -0.016, 
   39.,    0.0,   0.93,  -0.11,  -0.23,  -0.27, -0.061, -0.067, -0.071, 
   89.,    2.0,   0.64,   0.11,   0.20,  0.069,   0.19,   0.19,   0.13, 
   38.,    1.0,   0.96, -0.060, -0.037, -0.081, -0.046, -0.056, -0.042, 
   91.,    0.0,   0.81, -0.013,  0.018,  0.030,  0.065,  0.061, 0.0094, 
   92.,    0.0,   0.80, -0.046, 0.0052, 0.0036,  0.074,  0.070, -0.026, 
   94.,    0.0,   0.85, -0.053,  0.042, -0.015,  0.024,  0.020, -0.033, 
   92.,    0.0,   0.80, -0.046, 0.0052, 0.0036,  0.074,  0.070, -0.026, 
   14.,    2.0,    1.0, -0.046, -0.078,   0.23,  -0.17,  -0.18,  -0.14, 
   61.,    0.0,   0.82, -0.0052,  0.013,  0.034,  0.050,  0.046,  0.025, 
   85.,    2.0,   0.71, -0.069, -0.061, -0.085,   0.12,   0.11, -0.0052, 
   2.0,    0.0,   0.97,  0.034, -0.018, -0.044, -0.096,  -0.10, -0.028, 
   61.,    1.0,   0.92, -0.038, -0.079, -0.039, -0.0073, -0.018, -0.017, 
   79.,    2.0,   0.69,  0.058,   0.19,  -0.35,   0.14,   0.13,  0.081, 
   38.,    1.0,   0.96, -0.060, -0.037, -0.081, -0.046, -0.056, -0.042, 
   43.,    1.0,   0.97, -0.085, -0.076, -0.049, -0.055, -0.065, -0.050, 
   87.,    1.0,   0.77,   0.13,   0.12,   0.13,   0.15,   0.14,   0.16, 
   27.,    0.0,   0.95, -0.049, -0.076, -0.039, -0.082, -0.088, -0.0080, 
   94.,    1.0,   0.77,   0.11,   0.11,  0.098,   0.14,   0.14,   0.14, 
   91.,    0.0,   0.81, -0.013,  0.018,  0.030,  0.065,  0.061, 0.0094, 
   73.,    2.0,   0.78, -0.026,  0.085, -0.087,  0.055,  0.050, -0.0029, 
   45.,    0.0,   0.87, -0.0021,  -0.17,  0.011, -0.00076, -0.0073, -0.016, 
   67.,    2.0,   0.73,  0.060,  0.056,  0.023,   0.10,  0.098,  0.068, 
   42.,    1.0,   0.97, -0.092, -0.0070, 0.0072, -0.062, -0.073, -0.056, 
   3.0,    1.0,    1.0, -0.057, -0.019, -0.018, -0.088, -0.098, -0.050, 
   9.0,    1.0,   0.94, -1.1e-16,  0.044,  0.019, -0.030, -0.040,  0.014, 
   70.,    0.0,   0.72,   0.14,  0.043,   0.18,   0.15,   0.15,   0.12, 
   38.,    2.0,   0.83,  0.020, -0.034, -0.079, -0.00049, -0.0090, -0.014, 
   24.,    0.0,   0.93, 0.0073,  0.030, -0.085, -0.057, -0.063, -0.023, 
   52.,    2.0,   0.89,  -0.19,  -0.19, -0.038, -0.060, -0.068,  -0.19, 
   74.,    1.0,   0.88, -0.0025, 0.0030, -0.075,  0.033,  0.029,  0.034, 
   62.,    0.0,   0.85, -0.057, -0.041, -0.026,  0.019,  0.016, 0.0074, 
   6.0,    1.0,   0.98, -0.038,  0.019,  0.015, -0.068, -0.079, -0.030, 
